622;MANZONI;Alessio;C;ATALANTA
623;MARCHIONNI;Marco;C;JUVENTUS
624;MARCHISIO;Claudio;C;JUVENTUS
625;MARCOLINI;Michele;C;CHIEVO
626;MASIELLO;Salvatore;C;UDINESE
627;MATUZALEM;Francelino;C;LAZIO
628;MAURI;Stefano;C;LAZIO
629;MEGHNI;Mourad;C;LAZIO
630;MESTO;Giandomenico;C;GENOA
631;MIGLIACCIO;Giulio;C;PALERMO
632;MILANETTO;Omar;C;GENOA
633;MILLESI;Francesco;C;
634;MINGAZZINI;Nicola;C;BOLOGNA
635;MISSIROLI;Simone;C;REGGINA
636;MODESTO;Francesco;C;GENOA
637;MONTERVINO;Francesco;C;NAPOLI
638;MONTIEL;Nunez Jose;C;
639;MONTOLIVO;Riccardo;C;FIORENTINA
640;MUDINGAYI;Gaby;C;BOLOGNA
641;MUNARI;Gianni;C;LECCE
642;MUNTARI;Sulley;C;INTER
643;MUTARELLI;Massimo;C;LAZIO
644;NEDVED;Pavel;C;JUVENTUS
645;NOCERINO;Antonio;C;PALERMO
646;OBODO;Christian;C;UDINESE
647;OLIVERA;Ruben;C;GENOA
648;PADALINO;Marco;C;SAMPDORIA
649;PADOIN;Simone;C;ATALANTA
650;PALLADINO;Raffaele;C;GENOA
651;PALOMBO;Angelo;C;SAMPDORIA
652;PARO;Matteo;C;GENOA
653;PAROLA;Andrea;C;CAGLIARI
654;PAZIENZA;Michele;C;NAPOLI
655;PELE';Vitor Hugo;C;INTER
656;PERROTTA;Simone;C;ROMA
657;PINZI;Giampiero;C;CHIEVO
658;PIRLO;Andrea;C;MILAN
659;PIZARRO;David Marcelo Cortes;C;ROMA
660;POLI;Andrea;C;SAMPDORIA
661;POULSEN;Christian;C;JUVENTUS
662;QUADRI;Alberto;C;LAZIO
663;RAGGIO GARIBALDI;Silvano;C;
664;RIGONI;Luca;C;CHIEVO
665;ROSI;Aleandro;C;
666;ROSINA;Alessandro;C;TORINO
667;ROSSI;Marco;C;GENOA
668;SALIHAMIDZIC;Hasan;C;JUVENTUS
669;SAMMARCO;Paolo;C;SAMPDORIA
670;SANTANA;Mario Alberto;C;FIORENTINA
671;SAUMEL;Jurgen;C;TORINO
672;SCULLI;Giuseppe;C;GENOA
673;SEEDORF;Clarence;C;MILAN
674;SEMIOLI;Franco;C;FIORENTINA
675;SIMPLICIO;Fabio Henrique;C;PALERMO
676;SIQUEIRA;Guilherme;C;UDINESE
677;SISSOKO;Mohamed;C;JUVENTUS
678;STANKOVIC;Dejan;C;INTER
679;TADDEI;Rodrigo;C;ROMA
680;TEDESCO;Giacomo;C;CATANIA
681;TEDESCO;Giovanni;C;PALERMO
682;TIAGO;Mendes;C;JUVENTUS
683;TISSONE;Fernando;C;UDINESE
684;TOGNOZZI;Luca;C;REGGINA
685;VAILATTI;Tommaso;C;TORINO
686;VALDES;Jaime Andres Zapata;C;ATALANTA
687;VALIANI;Francesco;C;BOLOGNA
688;VERGASSOLA;Simone;C;SIENA
689;VIEIRA;Patrick;C;INTER
690;VIGIANI;Luca;C;REGGINA
691;VIVES;Giuseppe;C;LECCE
692;VOLPI;Sergio;C;BOLOGNA
693;ZANCHETTA;Andrea;C;LECCE
694;ZANETTI;Cristiano;C;JUVENTUS
695;ZANETTI;Javier Aldemar;C;INTER
696;ZANETTI;Paolo;C;TORINO
697;ZIEGLER;Reto;C;SAMPDORIA
698;VIUDEZ;Tabare';C;MILAN
699;CARDACIO;Mathias;C;MILAN
700;GRIPPO;Simone;C;CHIEVO
701;VITALE;Luigi;C;NAPOLI
702;PATRASCU;Aurelian Bogdan;C;CHIEVO
703;DOMINGO;Nicolas;C;GENOA
704;COSTINHA;José Rodrigues Da Costa;C;ATALANTA
705;MENEZ;Jeremy;C;ROMA
706;SESTU;Alessio;C;REGGINA
801;ABBRUSCATO;Elvis;A;TORINO
802;ACQUAFRESCA;Robert;A;CAGLIARI
803;ADAILTON;Bolzan Martins;A;BOLOGNA
804;ADRIANO;Leite Ribeiro;A;INTER
805;AMAURI;Carvalho De Oliveira;A;JUVENTUS
806;AMORUSO;Nicola;A;TORINO
807;BABU';Anderson de Oliveira;A;
808;BALOTELLI;Mario;A;INTER
809;BELLUCCI;Claudio;A;SAMPDORIA
810;BERNACCI;Marco;A;BOLOGNA
811;BJELANOVIC;Sasa;A;
812;BOGDANI;Erjon;A;CHIEVO
813;BONAZZOLI;Emiliano;A;SAMPDORIA
814;BORRIELLO;Marco;A;MILAN
815;BUDAN;Igor;A;PALERMO
816;CACIA;Daniele;A;LECCE
817;CALAIO';Emanuele;A;SIENA
818;CARBONARO;Paolo;A;PALERMO
819;CASSANO;Antonio;A;SAMPDORIA
820;CATELLANI;Andrea;A;CATANIA
821;CAVANI;Edison;A;PALERMO
822;CERAVOLO;Fabio;A;REGGINA
823;CERCI;Alessio;A;ATALANTA
824;CODA;Massimo;A;BOLOGNA
825;CORVIA;Daniele;A;
826;CRESPO;Hernan;A;INTER
827;CRUZ;Julio Ricardo;A;INTER
828;DE MELO;Tulio;A;PALERMO
829;DE SOUSA;Claudio;A;
830;DEL NERO;Simone;A;LAZIO
831;DEL PIERO;Alessandro;A;JUVENTUS
832;DELIA;Mirko;A;CATANIA
833;DENIS;German;A;NAPOLI
834;DI MICHELE;David;A;TORINO
835;DI NATALE;Antonio;A;UDINESE
836;DI VAIO;Marco;A;BOLOGNA
837;DICA;Nicolae;A;CATANIA
838;ESPOSITO;Mauro;A;ROMA
839;FIGUEROA;Luciano;A;GENOA
840;FLOCCARI;Sergio;A;ATALANTA
841;FLORO FLORES;Antonio;A;UDINESE
842;FORESTIERI;Fernando;A;SIENA
843;FORNAROLI;Bruno;A;SAMPDORIA
844;FOTI;Salvatore;A;UDINESE
845;FRICK;Mario;A;SIENA
846;GASPARETTO;Mirco;A;CHIEVO
847;GHEZZAL;Abdelkader;A;SIENA
848;GILARDINO;Alberto;A;FIORENTINA
849;GRECO;Giuseppe;A;
